loss=0.952; lr=0.2; nodes=2; iter=100; duration=2.223
loss=1.259; lr=0.15; nodes=2; iter=100; duration=2.286
loss=1.381; lr=0.1; nodes=2; iter=100; duration=2.305
loss=1.366; lr=0.05; nodes=2; iter=100; duration=2.337
loss=0.971; lr=0.2; nodes=10; iter=100; duration=3.075
loss=1.037; lr=0.15; nodes=10; iter=100; duration=3.041
loss=1.164; lr=0.1; nodes=10; iter=100; duration=2.962
loss=1.231; lr=0.05; nodes=10; iter=100; duration=3.143
loss=1.089; lr=0.2; nodes=25; iter=100; duration=4.060
loss=1.162; lr=0.15; nodes=25; iter=100; duration=4.057
loss=1.149; lr=0.1; nodes=25; iter=100; duration=4.094
loss=1.268; lr=0.05; nodes=25; iter=100; duration=4.169
loss=1.049; lr=0.2; nodes=50; iter=100; duration=6.204
loss=1.237; lr=0.15; nodes=50; iter=100; duration=6.146
loss=0.984; lr=0.1; nodes=50; iter=100; duration=6.156
loss=1.255; lr=0.05; nodes=50; iter=100; duration=6.260
loss=1.359; lr=0.2; nodes=75; iter=100; duration=8.702
loss=1.105; lr=0.15; nodes=75; iter=100; duration=8.740
loss=1.010; lr=0.1; nodes=75; iter=100; duration=8.576
loss=1.260; lr=0.05; nodes=75; iter=100; duration=8.548
loss=1.924; lr=0.2; nodes=100; iter=100; duration=10.66
loss=1.430; lr=0.15; nodes=100; iter=100; duration=10.63
loss=1.157; lr=0.1; nodes=100; iter=100; duration=10.64
loss=1.240; lr=0.05; nodes=100; iter=100; duration=10.69
loss=0.447; lr=0.2; nodes=2; iter=1000; duration=24.89
loss=0.453; lr=0.15; nodes=2; iter=1000; duration=22.88
loss=0.475; lr=0.1; nodes=2; iter=1000; duration=22.82
loss=0.800; lr=0.05; nodes=2; iter=1000; duration=25.09
loss=0.441; lr=0.2; nodes=10; iter=1000; duration=30.10
loss=0.458; lr=0.15; nodes=10; iter=1000; duration=30.54
loss=0.476; lr=0.1; nodes=10; iter=1000; duration=30.75
loss=0.751; lr=0.05; nodes=10; iter=1000; duration=30.59
loss=0.465; lr=0.2; nodes=25; iter=1000; duration=41.18
loss=0.468; lr=0.15; nodes=25; iter=1000; duration=40.95
loss=0.483; lr=0.1; nodes=25; iter=1000; duration=40.36
loss=0.722; lr=0.05; nodes=25; iter=1000; duration=40.45
loss=0.477; lr=0.2; nodes=50; iter=1000; duration=60.78
loss=0.664; lr=0.15; nodes=50; iter=1000; duration=60.96
loss=0.493; lr=0.1; nodes=50; iter=1000; duration=61.00
loss=0.664; lr=0.05; nodes=50; iter=1000; duration=61.01
loss=0.611; lr=0.2; nodes=75; iter=1000; duration=84.79
loss=1.166; lr=0.2; nodes=2; iter=100; duration=2.225
loss=1.144; lr=0.15; nodes=2; iter=100; duration=2.323
loss=1.291; lr=0.1; nodes=2; iter=100; duration=2.384
loss=0.996; lr=0.2; nodes=10; iter=100; duration=3.004
loss=1.168; lr=0.15; nodes=10; iter=100; duration=3.071
loss=1.283; lr=0.1; nodes=10; iter=100; duration=3.016
loss=0.873; lr=0.2; nodes=25; iter=100; duration=4.255
loss=1.152; lr=0.15; nodes=25; iter=100; duration=4.325
loss=1.210; lr=0.1; nodes=25; iter=100; duration=4.163
loss=1.010; lr=0.2; nodes=50; iter=100; duration=6.189
loss=1.127; lr=0.15; nodes=50; iter=100; duration=6.151
loss=1.264; lr=0.1; nodes=50; iter=100; duration=6.207
loss=1.368; lr=0.2; nodes=75; iter=100; duration=8.714
loss=1.245; lr=0.15; nodes=75; iter=100; duration=8.712
loss=1.460; lr=0.1; nodes=75; iter=100; duration=9.641
loss=1.397; lr=0.2; nodes=100; iter=100; duration=11.51
loss=1.302; lr=0.15; nodes=100; iter=100; duration=11.27
loss=1.102; lr=0.1; nodes=100; iter=100; duration=11.23
loss=0.445; lr=0.2; nodes=2; iter=1000; duration=24.11
loss=0.452; lr=0.15; nodes=2; iter=1000; duration=22.99
loss=0.478; lr=0.1; nodes=2; iter=1000; duration=23.51
loss=0.433; lr=0.2; nodes=10; iter=1000; duration=30.90
loss=0.453; lr=0.15; nodes=10; iter=1000; duration=30.41
loss=0.494; lr=0.1; nodes=10; iter=1000; duration=30.71
loss=0.463; lr=0.2; nodes=25; iter=1000; duration=41.19
loss=0.470; lr=0.15; nodes=25; iter=1000; duration=41.32
loss=0.494; lr=0.1; nodes=25; iter=1000; duration=40.74
loss=0.454; lr=0.2; nodes=50; iter=1000; duration=61.44
loss=0.490; lr=0.15; nodes=50; iter=1000; duration=60.80
loss=0.478; lr=0.1; nodes=50; iter=1000; duration=62.74
loss=0.648; lr=0.2; nodes=75; iter=1000; duration=87.54
loss=0.472; lr=0.15; nodes=75; iter=1000; duration=85.25
loss=0.503; lr=0.1; nodes=75; iter=1000; duration=84.83
loss=1.299; lr=0.2; nodes=100; iter=1000; duration=106.3
loss=0.918; lr=0.15; nodes=100; iter=1000; duration=108.1
loss=0.496; lr=0.1; nodes=100; iter=1000; duration=107.9
loss=0.182; lr=0.2; nodes=2; iter=10000; duration=240.3
loss=0.373; lr=0.15; nodes=2; iter=10000; duration=235.8
loss=0.390; lr=0.1; nodes=2; iter=10000; duration=232.4
loss=0.161; lr=0.2; nodes=10; iter=10000; duration=313.8
loss=0.236; lr=0.15; nodes=10; iter=10000; duration=312.9
loss=0.256; lr=0.1; nodes=10; iter=10000; duration=314.8
loss=0.178; lr=0.2; nodes=25; iter=10000; duration=412.2
loss=0.172; lr=0.15; nodes=25; iter=10000; duration=417.5
loss=0.246; lr=0.1; nodes=25; iter=10000; duration=415.7
loss=0.166; lr=0.2; nodes=50; iter=10000; duration=625.4
